problem type,unit demand,num aisles,num cells,num articles,alpha,random seed,num pick positions,GS MIP cost,GS MIP time cplex [ms],Netw MIP cost,Netw MIP time cplex [ms]
SPRP with Scattered Storage,true,5,30,3,1,0,3,74,4.4292,74,1.0142
SPRP with Scattered Storage,true,5,30,3,1,1,3,72,2.964,72,0.939
SPRP with Scattered Storage,true,5,30,3,1,2,3,78,5.586,78,0.7934
SPRP with Scattered Storage,true,5,30,3,1,3,3,70,7.4155,70,0.6054
SPRP with Scattered Storage,true,5,30,3,1,4,3,86,15.0052,86,0.7716
SPRP with Scattered Storage,true,5,30,3,1,5,3,80,2.9757,80,1.0851
SPRP with Scattered Storage,true,5,30,3,1,6,3,92,14.7751,92,1.0755
SPRP with Scattered Storage,true,5,30,3,1,7,3,86,5.988,86,0.6989
SPRP with Scattered Storage,true,5,30,3,1,8,3,76,7.5709,76,0.6831
SPRP with Scattered Storage,true,5,30,3,1,9,3,96,12.5687,96,0.8737
SPRP with Scattered Storage,true,5,30,3,1,10,3,44,2.8958,44,0.5317
SPRP with Scattered Storage,true,5,30,3,1,11,3,86,9.1051,86,0.8178
SPRP with Scattered Storage,true,5,30,3,1,12,3,80,8.9764,80,0.8323
SPRP with Scattered Storage,true,5,30,3,1,13,3,86,7.8921,86,1.1979
SPRP with Scattered Storage,true,5,30,3,1,14,3,62,4.518,62,0.767
SPRP with Scattered Storage,true,5,30,3,1,15,3,74,3.5698,74,0.6753
SPRP with Scattered Storage,true,5,30,3,1,16,3,80,3.5857,80,0.6826
SPRP with Scattered Storage,true,5,30,3,1,17,3,86,4.1537,86,0.639
SPRP with Scattered Storage,true,5,30,3,1,18,3,74,3.7868,74,0.6664
SPRP with Scattered Storage,true,5,30,3,1,19,3,90,26.4521,90,1.1902
SPRP with Scattered Storage,true,5,30,3,1,20,3,96,5.1605,96,0.893
SPRP with Scattered Storage,true,5,30,3,1,21,3,68,3.1935,68,0.551
SPRP with Scattered Storage,true,5,30,3,1,22,3,46,3.1199,46,0.7382
SPRP with Scattered Storage,true,5,30,3,1,23,3,78,4.9053,78,0.8906
SPRP with Scattered Storage,true,5,30,3,1,24,3,62,2.8213,62,0.7762
SPRP with Scattered Storage,true,5,30,3,1,25,3,54,2.5472,54,0.7446
SPRP with Scattered Storage,true,5,30,3,1,26,3,74,3.8559,74,0.6542
SPRP with Scattered Storage,true,5,30,3,1,27,3,98,11.2909,98,0.951
SPRP with Scattered Storage,true,5,30,3,1,28,3,82,8.3551,82,0.846
SPRP with Scattered Storage,true,5,30,3,1,29,3,80,4.4875,80,0.8173
SPRP with Scattered Storage,true,5,30,3,1,30,3,68,2.8652,68,0.5409
SPRP with Scattered Storage,true,5,30,3,1,31,3,74,6.6784,74,0.6335
SPRP with Scattered Storage,true,5,30,3,1,32,3,80,4.3636,80,0.6103
SPRP with Scattered Storage,true,5,30,3,1,33,3,84,4.9945,84,0.9355
SPRP with Scattered Storage,true,5,30,3,1,34,3,68,2.6071,68,0.4097
SPRP with Scattered Storage,true,5,30,3,1,35,3,100,9.7259,100,0.8894
SPRP with Scattered Storage,true,5,30,3,1,36,3,56,1.8147,56,0.6102
