filename,demand,num_aisles,num_cells,alpha,articles,seed,objective,NF time [ms],GTSP time [ms]
unit_F2_m5_C30_a3_0.txt,unit,5,30,2,3,0,56,29.642,15
unit_F2_m5_C30_a3_1.txt,unit,5,30,2,3,1,86,28.7987,6
unit_F2_m5_C30_a3_2.txt,unit,5,30,2,3,2,38,5.8056,3
unit_F2_m5_C30_a3_3.txt,unit,5,30,2,3,3,62,22.4,5
unit_F2_m5_C30_a3_4.txt,unit,5,30,2,3,4,80,3.0295,3
unit_F2_m5_C30_a3_5.txt,unit,5,30,2,3,5,54,49.5019,7
unit_F2_m5_C30_a3_6.txt,unit,5,30,2,3,6,38,20.1341,5
unit_F2_m5_C30_a3_7.txt,unit,5,30,2,3,7,54,56.3644,4
unit_F2_m5_C30_a3_8.txt,unit,5,30,2,3,8,56,33.0347,5
unit_F2_m5_C30_a3_9.txt,unit,5,30,2,3,9,50,26.3771,11
unit_F2_m5_C30_a3_10.txt,unit,5,30,2,3,10,36,18.772,4
unit_F2_m5_C30_a3_11.txt,unit,5,30,2,3,11,30,10.5266,4
unit_F2_m5_C30_a3_12.txt,unit,5,30,2,3,12,52,7.8868,3
unit_F2_m5_C30_a3_13.txt,unit,5,30,2,3,13,60,17.3475,4
unit_F2_m5_C30_a3_14.txt,unit,5,30,2,3,14,30,18.4639,4
unit_F2_m5_C30_a3_15.txt,unit,5,30,2,3,15,42,56.1612,6
unit_F2_m5_C30_a3_16.txt,unit,5,30,2,3,16,44,34.0437,5
unit_F2_m5_C30_a3_17.txt,unit,5,30,2,3,17,44,18.7415,4
unit_F2_m5_C30_a3_18.txt,unit,5,30,2,3,18,34,22.2656,5
unit_F2_m5_C30_a3_19.txt,unit,5,30,2,3,19,76,12.5835,4
unit_F2_m5_C30_a3_20.txt,unit,5,30,2,3,20,26,7.7766,3
unit_F2_m5_C30_a3_21.txt,unit,5,30,2,3,21,52,43.6962,6
unit_F2_m5_C30_a3_22.txt,unit,5,30,2,3,22,38,43.5437,5
unit_F2_m5_C30_a3_23.txt,unit,5,30,2,3,23,50,25.4237,5
unit_F2_m5_C30_a3_24.txt,unit,5,30,2,3,24,66,16.485,3
unit_F2_m5_C30_a3_25.txt,unit,5,30,2,3,25,62,10.4397,4
unit_F2_m5_C30_a3_26.txt,unit,5,30,2,3,26,50,25.4942,4
unit_F2_m5_C30_a3_27.txt,unit,5,30,2,3,27,38,12.7119,4
unit_F2_m5_C30_a3_28.txt,unit,5,30,2,3,28,40,16.8021,7
unit_F2_m5_C30_a3_29.txt,unit,5,30,2,3,29,58,18.3311,3
unit_F2_m5_C30_a3_30.txt,unit,5,30,2,3,30,54,3.3696,3
unit_F2_m5_C30_a3_31.txt,unit,5,30,2,3,31,48,5.2886,4
unit_F2_m5_C30_a3_32.txt,unit,5,30,2,3,32,52,17.3865,3
unit_F2_m5_C30_a3_33.txt,unit,5,30,2,3,33,34,18.2829,4
unit_F2_m5_C30_a3_34.txt,unit,5,30,2,3,34,38,30.7186,4
unit_F2_m5_C30_a3_35.txt,unit,5,30,2,3,35,44,9.569,3
unit_F2_m5_C30_a3_36.txt,unit,5,30,2,3,36,60,17.5062,3
unit_F2_m5_C30_a3_37.txt,unit,5,30,2,3,37,64,14.954,4
unit_F2_m5_C30_a3_38.txt,unit,5,30,2,3,38,48,14.2295,4
unit_F2_m5_C30_a3_39.txt,unit,5,30,2,3,39,44,20.3261,5
unit_F2_m5_C30_a3_40.txt,unit,5,30,2,3,40,34,61.7351,8
unit_F2_m5_C30_a3_41.txt,unit,5,30,2,3,41,50,38.6251,4
unit_F2_m5_C30_a3_42.txt,unit,5,30,2,3,42,44,18.9529,3
unit_F2_m5_C30_a3_43.txt,unit,5,30,2,3,43,64,4.1463,3
unit_F2_m5_C30_a3_44.txt,unit,5,30,2,3,44,36,16.416,6
unit_F2_m5_C30_a3_45.txt,unit,5,30,2,3,45,54,17.2548,3
unit_F2_m5_C30_a3_46.txt,unit,5,30,2,3,46,38,37.6636,4
unit_F2_m5_C30_a3_47.txt,unit,5,30,2,3,47,26,8.6146,2
unit_F2_m5_C30_a3_48.txt,unit,5,30,2,3,48,50,34.4123,3
unit_F2_m5_C30_a3_49.txt,unit,5,30,2,3,49,78,20.624,5
unit_F2_m5_C30_a7_0.txt,unit,5,30,2,7,0,94,42.0366,44
unit_F2_m5_C30_a7_1.txt,unit,5,30,2,7,1,88,29.5511,34
unit_F2_m5_C30_a7_2.txt,unit,5,30,2,7,2,74,43.1016,9
unit_F2_m5_C30_a7_3.txt,unit,5,30,2,7,3,62,34.1897,36
unit_F2_m5_C30_a7_4.txt,unit,5,30,2,7,4,86,32.8819,7
unit_F2_m5_C30_a7_5.txt,unit,5,30,2,7,5,68,35.118,207
unit_F2_m5_C30_a7_6.txt,unit,5,30,2,7,6,48,31.5952,22
unit_F2_m5_C30_a7_7.txt,unit,5,30,2,7,7,90,29.1594,14
unit_F2_m5_C30_a7_8.txt,unit,5,30,2,7,8,62,31.8911,47
unit_F2_m5_C30_a7_9.txt,unit,5,30,2,7,9,88,16.3305,9
unit_F2_m5_C30_a7_10.txt,unit,5,30,2,7,10,64,40.8721,22
unit_F2_m5_C30_a7_11.txt,unit,5,30,2,7,11,44,47.6731,24
unit_F2_m5_C30_a7_12.txt,unit,5,30,2,7,12,86,16.9599,5
unit_F2_m5_C30_a7_13.txt,unit,5,30,2,7,13,76,21.9074,18
unit_F2_m5_C30_a7_14.txt,unit,5,30,2,7,14,86,32.1352,68
unit_F2_m5_C30_a7_15.txt,unit,5,30,2,7,15,78,29.0516,43
unit_F2_m5_C30_a7_16.txt,unit,5,30,2,7,16,56,39.1412,76
unit_F2_m5_C30_a7_17.txt,unit,5,30,2,7,17,82,23.6583,17
unit_F2_m5_C30_a7_18.txt,unit,5,30,2,7,18,78,40.9054,105
unit_F2_m5_C30_a7_19.txt,unit,5,30,2,7,19,82,23.7131,13
unit_F2_m5_C30_a7_20.txt,unit,5,30,2,7,20,52,35.4593,27
unit_F2_m5_C30_a7_21.txt,unit,5,30,2,7,21,82,82.9955,148
unit_F2_m5_C30_a7_22.txt,unit,5,30,2,7,22,82,44.1819,16
unit_F2_m5_C30_a7_23.txt,unit,5,30,2,7,23,82,52.4967,41
unit_F2_m5_C30_a7_24.txt,unit,5,30,2,7,24,102,25.0146,11
unit_F2_m5_C30_a7_25.txt,unit,5,30,2,7,25,84,30.7949,25
unit_F2_m5_C30_a7_26.txt,unit,5,30,2,7,26,88,28.4523,24
unit_F2_m5_C30_a7_27.txt,unit,5,30,2,7,27,86,49.555,100
unit_F2_m5_C30_a7_28.txt,unit,5,30,2,7,28,58,55.3398,84
unit_F2_m5_C30_a7_29.txt,unit,5,30,2,7,29,88,25.9659,14
unit_F2_m5_C30_a7_30.txt,unit,5,30,2,7,30,70,27.2339,17
unit_F2_m5_C30_a7_31.txt,unit,5,30,2,7,31,54,42.5064,46
unit_F2_m5_C30_a7_32.txt,unit,5,30,2,7,32,62,46.1867,44
unit_F2_m5_C30_a7_33.txt,unit,5,30,2,7,33,62,32.284,27
unit_F2_m5_C30_a7_34.txt,unit,5,30,2,7,34,78,45.0484,28
unit_F2_m5_C30_a7_35.txt,unit,5,30,2,7,35,82,25.8097,26
unit_F2_m5_C30_a7_36.txt,unit,5,30,2,7,36,74,50.1068,49
unit_F2_m5_C30_a7_37.txt,unit,5,30,2,7,37,64,47.1509,28
unit_F2_m5_C30_a7_38.txt,unit,5,30,2,7,38,60,24.1878,34
unit_F2_m5_C30_a7_39.txt,unit,5,30,2,7,39,50,63.2238,56
unit_F2_m5_C30_a7_40.txt,unit,5,30,2,7,40,66,30.9331,95
unit_F2_m5_C30_a7_41.txt,unit,5,30,2,7,41,50,38.195,14
unit_F2_m5_C30_a7_42.txt,unit,5,30,2,7,42,62,29.664,23
unit_F2_m5_C30_a7_43.txt,unit,5,30,2,7,43,88,36.7031,17
unit_F2_m5_C30_a7_44.txt,unit,5,30,2,7,44,62,53.5991,39
unit_F2_m5_C30_a7_45.txt,unit,5,30,2,7,45,60,69.6232,50
unit_F2_m5_C30_a7_46.txt,unit,5,30,2,7,46,60,30.8298,79
unit_F2_m5_C30_a7_47.txt,unit,5,30,2,7,47,46,70.878,60
unit_F2_m5_C30_a7_48.txt,unit,5,30,2,7,48,58,30.729,18
unit_F2_m5_C30_a7_49.txt,unit,5,30,2,7,49,82,26.7183,22
unit_F2_m5_C30_a15_0.txt,unit,5,30,2,15,0,110,89.2147,3077
unit_F2_m5_C30_a15_1.txt,unit,5,30,2,15,1,88,73.8465,224
unit_F2_m5_C30_a15_2.txt,unit,5,30,2,15,2,94,43.7711,159
unit_F2_m5_C30_a15_3.txt,unit,5,30,2,15,3,86,57.9337,1243
unit_F2_m5_C30_a15_4.txt,unit,5,30,2,15,4,108,72.7604,679
unit_F2_m5_C30_a15_5.txt,unit,5,30,2,15,5,94,80.5829,2303
unit_F2_m5_C30_a15_6.txt,unit,5,30,2,15,6,82,84.6531,225
unit_F2_m5_C30_a15_7.txt,unit,5,30,2,15,7,100,68.9521,1261
unit_F2_m5_C30_a15_8.txt,unit,5,30,2,15,8,80,59.7424,379
unit_F2_m5_C30_a15_9.txt,unit,5,30,2,15,9,120,36.811,178
unit_F2_m5_C30_a15_10.txt,unit,5,30,2,15,10,80,128.13,2009
unit_F2_m5_C30_a15_11.txt,unit,5,30,2,15,11,74,72.0574,828
unit_F2_m5_C30_a15_12.txt,unit,5,30,2,15,12,96,62.162,56
unit_F2_m5_C30_a15_13.txt,unit,5,30,2,15,13,90,73.9305,432
unit_F2_m5_C30_a15_14.txt,unit,5,30,2,15,14,98,34.7298,85
unit_F2_m5_C30_a15_15.txt,unit,5,30,2,15,15,84,78.6901,406
unit_F2_m5_C30_a15_16.txt,unit,5,30,2,15,16,80,67.6226,743
unit_F2_m5_C30_a15_17.txt,unit,5,30,2,15,17,116,105.62,1074
unit_F2_m5_C30_a15_18.txt,unit,5,30,2,15,18,106,52.6377,464
unit_F2_m5_C30_a15_19.txt,unit,5,30,2,15,19,98,59.2629,677
unit_F2_m5_C30_a15_20.txt,unit,5,30,2,15,20,88,200.36,998
unit_F2_m5_C30_a15_21.txt,unit,5,30,2,15,21,88,141.577,2349
unit_F2_m5_C30_a15_22.txt,unit,5,30,2,15,22,90,101.4,677
unit_F2_m5_C30_a15_23.txt,unit,5,30,2,15,23,110,60.3472,135
unit_F2_m5_C30_a15_24.txt,unit,5,30,2,15,24,114,65.4991,161
unit_F2_m5_C30_a15_25.txt,unit,5,30,2,15,25,88,48.5698,126
unit_F2_m5_C30_a15_26.txt,unit,5,30,2,15,26,96,51.3359,233
unit_F2_m5_C30_a15_27.txt,unit,5,30,2,15,27,94,63.2816,502
unit_F2_m5_C30_a15_28.txt,unit,5,30,2,15,28,66,102.274,1097
unit_F2_m5_C30_a15_29.txt,unit,5,30,2,15,29,102,35.5311,56
unit_F2_m5_C30_a15_30.txt,unit,5,30,2,15,30,102,91.6677,478
unit_F2_m5_C30_a15_31.txt,unit,5,30,2,15,31,112,46.1635,533
unit_F2_m5_C30_a15_32.txt,unit,5,30,2,15,32,82,61.6298,500
unit_F2_m5_C30_a15_33.txt,unit,5,30,2,15,33,100,53.1941,282
unit_F2_m5_C30_a15_34.txt,unit,5,30,2,15,34,108,47.9215,364
unit_F2_m5_C30_a15_35.txt,unit,5,30,2,15,35,92,53.2265,123
unit_F2_m5_C30_a15_36.txt,unit,5,30,2,15,36,86,65.4849,272
unit_F2_m5_C30_a15_37.txt,unit,5,30,2,15,37,108,61.3401,164
unit_F2_m5_C30_a15_38.txt,unit,5,30,2,15,38,102,103.064,335
unit_F2_m5_C30_a15_39.txt,unit,5,30,2,15,39,76,136.727,555
unit_F2_m5_C30_a15_40.txt,unit,5,30,2,15,40,94,157.794,3873
unit_F2_m5_C30_a15_41.txt,unit,5,30,2,15,41,120,52.1996,134
unit_F2_m5_C30_a15_42.txt,unit,5,30,2,15,42,102,85.2384,875
unit_F2_m5_C30_a15_43.txt,unit,5,30,2,15,43,112,37.4523,109
unit_F2_m5_C30_a15_44.txt,unit,5,30,2,15,44,72,93.8513,318
unit_F2_m5_C30_a15_45.txt,unit,5,30,2,15,45,94,232.903,1496
unit_F2_m5_C30_a15_46.txt,unit,5,30,2,15,46,82,234.097,3995
unit_F2_m5_C30_a15_47.txt,unit,5,30,2,15,47,86,116.288,3952
unit_F2_m5_C30_a15_48.txt,unit,5,30,2,15,48,102,77.1756,306
unit_F2_m5_C30_a15_49.txt,unit,5,30,2,15,49,96,40.7023,405
unit_F2_m5_C30_a30_0.txt,unit,5,30,2,30,0,154,111.312,7017
unit_F2_m5_C30_a30_1.txt,unit,5,30,2,30,1,124,136.762,8586
unit_F2_m5_C30_a30_2.txt,unit,5,30,2,30,2,148,109.252,4201
unit_F2_m5_C30_a30_3.txt,unit,5,30,2,30,3,150,82.9396,6345
unit_F2_m5_C30_a30_4.txt,unit,5,30,2,30,4,128,162.298,11749
unit_F2_m5_C30_a30_5.txt,unit,5,30,2,30,5,138,111.451,16313
unit_F2_m5_C30_a30_6.txt,unit,5,30,2,30,6,114,126.824,3418
unit_F2_m5_C30_a30_7.txt,unit,5,30,2,30,7,136,87.6699,6346
unit_F2_m5_C30_a30_8.txt,unit,5,30,2,30,8,114,107.458,8736
unit_F2_m5_C30_a30_9.txt,unit,5,30,2,30,9,144,97.754,1738
unit_F2_m5_C30_a30_10.txt,unit,5,30,2,30,10,122,206.137,15614
unit_F2_m5_C30_a30_11.txt,unit,5,30,2,30,11,122,238.541,25722
unit_F2_m5_C30_a30_12.txt,unit,5,30,2,30,12,136,85.7241,6146
unit_F2_m5_C30_a30_13.txt,unit,5,30,2,30,13,128,100.875,3852
unit_F2_m5_C30_a30_14.txt,unit,5,30,2,30,14,136,77.1004,7255
unit_F2_m5_C30_a30_15.txt,unit,5,30,2,30,15,138,102.604,5409
unit_F2_m5_C30_a30_16.txt,unit,5,30,2,30,16,134,114.779,6658
unit_F2_m5_C30_a30_17.txt,unit,5,30,2,30,17,132,178.876,4644
unit_F2_m5_C30_a30_18.txt,unit,5,30,2,30,18,148,146.566,7724
unit_F2_m5_C30_a30_19.txt,unit,5,30,2,30,19,126,139.94,4697
unit_F2_m5_C30_a30_20.txt,unit,5,30,2,30,20,114,108.875,7652
unit_F2_m5_C30_a30_21.txt,unit,5,30,2,30,21,146,84.5529,6867
unit_F2_m5_C30_a30_22.txt,unit,5,30,2,30,22,120,176.826,3233
unit_F2_m5_C30_a30_23.txt,unit,5,30,2,30,23,126,90.851,4660
unit_F2_m5_C30_a30_24.txt,unit,5,30,2,30,24,146,85.3383,3675
unit_F2_m5_C30_a30_25.txt,unit,5,30,2,30,25,120,232.356,16547
unit_F2_m5_C30_a30_26.txt,unit,5,30,2,30,26,144,111.792,12954
unit_F2_m5_C30_a30_27.txt,unit,5,30,2,30,27,126,110.931,6330
unit_F2_m5_C30_a30_28.txt,unit,5,30,2,30,28,120,153.48,5661
unit_F2_m5_C30_a30_29.txt,unit,5,30,2,30,29,118,63.807,9602
unit_F2_m5_C30_a30_30.txt,unit,5,30,2,30,30,134,135.756,10850
unit_F2_m5_C30_a30_31.txt,unit,5,30,2,30,31,124,95.6203,5531
unit_F2_m5_C30_a30_32.txt,unit,5,30,2,30,32,122,124.17,2910
unit_F2_m5_C30_a30_33.txt,unit,5,30,2,30,33,134,188.673,8423
unit_F2_m5_C30_a30_34.txt,unit,5,30,2,30,34,140,139.3,5516
unit_F2_m5_C30_a30_35.txt,unit,5,30,2,30,35,128,60.808,829
unit_F2_m5_C30_a30_36.txt,unit,5,30,2,30,36,148,80.1786,4515
unit_F2_m5_C30_a30_37.txt,unit,5,30,2,30,37,158,76.0819,2663
unit_F2_m5_C30_a30_38.txt,unit,5,30,2,30,38,116,197.995,9200
unit_F2_m5_C30_a30_39.txt,unit,5,30,2,30,39,144,139.028,6691
unit_F2_m5_C30_a30_40.txt,unit,5,30,2,30,40,134,235.183,60000
unit_F2_m5_C30_a30_41.txt,unit,5,30,2,30,41,134,88.8987,5776
unit_F2_m5_C30_a30_42.txt,unit,5,30,2,30,42,142,152.032,26633
unit_F2_m5_C30_a30_43.txt,unit,5,30,2,30,43,116,146.735,1694
unit_F2_m5_C30_a30_44.txt,unit,5,30,2,30,44,124,276.582,29429
unit_F2_m5_C30_a30_45.txt,unit,5,30,2,30,45,124,149.103,7110
unit_F2_m5_C30_a30_46.txt,unit,5,30,2,30,46,122,200.912,25487
unit_F2_m5_C30_a30_47.txt,unit,5,30,2,30,47,120,140.118,17828
unit_F2_m5_C30_a30_48.txt,unit,5,30,2,30,48,132,94.1177,6254
unit_F2_m5_C30_a30_49.txt,unit,5,30,2,30,49,126,113.584,12484
unit_F2_m5_C60_a3_0.txt,unit,5,60,2,3,0,106,9.3283,3
unit_F2_m5_C60_a3_1.txt,unit,5,60,2,3,1,74,79.2823,7
unit_F2_m5_C60_a3_2.txt,unit,5,60,2,3,2,102,8.1678,3
unit_F2_m5_C60_a3_3.txt,unit,5,60,2,3,3,128,9.9234,4
unit_F2_m5_C60_a3_4.txt,unit,5,60,2,3,4,84,21.1008,4
unit_F2_m5_C60_a3_5.txt,unit,5,60,2,3,5,80,2.3095,6
unit_F2_m5_C60_a3_6.txt,unit,5,60,2,3,6,56,22.0215,8
unit_F2_m5_C60_a3_7.txt,unit,5,60,2,3,7,108,89.6947,9
unit_F2_m5_C60_a3_8.txt,unit,5,60,2,3,8,46,35.018,3
unit_F2_m5_C60_a3_9.txt,unit,5,60,2,3,9,80,35.8797,4
unit_F2_m5_C60_a3_10.txt,unit,5,60,2,3,10,80,37.5846,4
unit_F2_m5_C60_a3_11.txt,unit,5,60,2,3,11,74,23.13,5
