problem type,unit demand,num aisles,num cells,num articles,alpha,random seed,num pick positions,GS MIP cost,GS MIP time cplex [ms],Netw MIP cost,Netw MIP time cplex [ms],DP cost,DP time cplex [ms]
SPRP,true,5,30,3,1,0,3,74,4.2607,74,0.8976,74,0.2476
SPRP,true,5,30,3,1,1,3,72,3.0134,72,1.1045,72,0.2483
SPRP,true,5,30,3,1,2,3,78,5.2204,78,0.7623,78,0.2167
SPRP,true,5,30,3,1,3,3,70,8.6743,70,0.5376,70,0.1994
SPRP,true,5,30,3,1,4,3,86,13.6733,86,0.6974,86,0.2173
SPRP,true,5,30,3,1,5,3,80,2.8719,80,0.8095,80,0.2318
SPRP,true,5,30,3,1,6,3,92,13.3771,92,0.7859,92,0.2955
SPRP,true,5,30,3,1,7,3,86,6.0162,86,0.5985,86,0.1646
SPRP,true,5,30,3,1,8,3,76,6.4795,76,0.5779,76,0.2081
SPRP,true,5,30,3,1,9,3,96,11.408,96,0.7384,96,0.1797
SPRP,true,5,30,3,1,10,3,44,2.5509,44,0.5119,44,0.1864
SPRP,true,5,30,3,1,11,3,86,8.4841,86,0.7654,86,0.1748
SPRP,true,5,30,3,1,12,3,80,4.9037,80,0.7107,80,0.199
SPRP,true,5,30,3,1,13,3,86,7.0306,86,0.8284,86,0.1797
SPRP,true,5,30,3,1,14,3,62,3.8544,62,0.8029,62,0.2033
SPRP,true,5,30,3,1,15,3,74,3.2675,74,0.5888,74,0.1728
SPRP,true,5,30,3,1,16,3,80,3.4544,80,0.6165,80,0.1817
SPRP,true,5,30,3,1,17,3,86,4.0007,86,0.5545,86,0.1875
SPRP,true,5,30,3,1,18,3,74,3.3093,74,0.5257,74,0.171
SPRP,true,5,30,3,1,19,3,90,8.9006,90,0.7399,90,0.2216
SPRP,true,5,30,3,1,20,3,96,3.877,96,0.7425,96,0.19
SPRP,true,5,30,3,1,21,3,68,2.5916,68,0.5351,68,0.2495
SPRP,true,5,30,3,1,22,3,46,2.8907,46,0.5741,46,0.1881
SPRP,true,5,30,3,1,23,3,78,5.3354,78,0.7728,78,0.2094
SPRP,true,5,30,3,1,24,3,62,2.8109,62,0.7146,62,0.1919
SPRP,true,5,30,3,1,25,3,54,2.435,54,0.7413,54,0.3152
SPRP,true,5,30,3,1,26,3,74,3.7931,74,0.5515,74,0.1727
