filename,num_aisles,num_cells,alpha,articles,seed,objective,DP time [ms],NF time [ms],TSP time [ms]
unit_F1_m5_C30_a3_0.txt,5,30,1,3,0,60,0.0874,6.4596,1.25
unit_F1_m5_C30_a3_1.txt,5,30,1,3,1,62,0.0926,1.9562,0.63
unit_F1_m5_C30_a3_2.txt,5,30,1,3,2,68,0.1351,2.1632,0.78
unit_F1_m5_C30_a3_3.txt,5,30,1,3,3,60,0.1245,4.0694,0.94
unit_F1_m5_C30_a3_4.txt,5,30,1,3,4,88,0.1296,4.2052,0.78
unit_F1_m5_C30_a3_5.txt,5,30,1,3,5,54,0.1327,5.5875,0.47
unit_F1_m5_C30_a3_6.txt,5,30,1,3,6,94,0.1415,5.389,0.47
unit_F1_m5_C30_a3_7.txt,5,30,1,3,7,88,0.1367,4.2682,0.47
unit_F1_m5_C30_a3_8.txt,5,30,1,3,8,78,0.1371,1.4238,0.47
unit_F1_m5_C30_a3_9.txt,5,30,1,3,9,98,0.1451,1.9465,0.63
unit_F1_m5_C30_a3_10.txt,5,30,1,3,10,46,0.0716,1.2584,0.78
unit_F1_m5_C30_a3_11.txt,5,30,1,3,11,88,0.1287,1.9771,1.09
unit_F1_m5_C30_a3_12.txt,5,30,1,3,12,76,0.168,1.9375,0
unit_F1_m5_C30_a3_13.txt,5,30,1,3,13,68,0.116,1.6211,1.09
unit_F1_m5_C30_a3_14.txt,5,30,1,3,14,50,0.0597,1.39,0.31
unit_F1_m5_C30_a3_15.txt,5,30,1,3,15,68,0.1108,1.2979,0.31
unit_F1_m5_C30_a3_16.txt,5,30,1,3,16,68,0.107,1.598,0.63
unit_F1_m5_C30_a3_17.txt,5,30,1,3,17,88,0.0688,1.0383,0.16
unit_F1_m5_C30_a3_18.txt,5,30,1,3,18,64,0.0913,1.1613,0.47
unit_F1_m5_C30_a3_19.txt,5,30,1,3,19,88,0.1354,5.2743,0.16
unit_F1_m5_C30_a3_20.txt,5,30,1,3,20,54,0.0891,3.8513,0.47
unit_F1_m5_C30_a3_21.txt,5,30,1,3,21,70,0.0721,2.9003,0.16
unit_F1_m5_C30_a3_22.txt,5,30,1,3,22,46,0.0555,4.2052,0.47
unit_F1_m5_C30_a3_23.txt,5,30,1,3,23,58,0.0619,1.5475,0.63
unit_F1_m5_C30_a3_24.txt,5,30,1,3,24,56,0.0757,1.1631,0.47
unit_F1_m5_C30_a3_25.txt,5,30,1,3,25,44,0.0616,1.2223,0.16
unit_F1_m5_C30_a3_26.txt,5,30,1,3,26,76,0.1018,1.4345,0.16
unit_F1_m5_C30_a3_27.txt,5,30,1,3,27,68,0.1053,1.4364,0.16
unit_F1_m5_C30_a3_28.txt,5,30,1,3,28,76,0.0881,1.0959,0.63
unit_F1_m5_C30_a3_29.txt,5,30,1,3,29,68,0.0955,1.5013,0
unit_F1_m5_C30_a3_30.txt,5,30,1,3,30,62,0.1233,1.5029,0.78
unit_F1_m5_C30_a3_31.txt,5,30,1,3,31,70,0.0829,1.0586,0.31
unit_F1_m5_C30_a3_32.txt,5,30,1,3,32,82,0.1465,1.4772,0.63
unit_F1_m5_C30_a3_33.txt,5,30,1,3,33,82,0.1314,1.8678,0.63
unit_F1_m5_C30_a3_34.txt,5,30,1,3,34,66,0.0693,1.0528,0.31
unit_F1_m5_C30_a3_35.txt,5,30,1,3,35,84,0.1046,1.3188,0.47
unit_F1_m5_C30_a3_36.txt,5,30,1,3,36,38,0.0733,3.6251,0.47
unit_F1_m5_C30_a3_37.txt,5,30,1,3,37,86,0.2003,1.6807,0.31
unit_F1_m5_C30_a3_38.txt,5,30,1,3,38,70,0.1261,1.6555,0.31
unit_F1_m5_C30_a3_39.txt,5,30,1,3,39,98,0.0666,3.9208,0.78
unit_F1_m5_C30_a3_40.txt,5,30,1,3,40,68,0.1002,3.562,0.47
unit_F1_m5_C30_a3_41.txt,5,30,1,3,41,60,0.0844,1.3269,1.09
unit_F1_m5_C30_a3_42.txt,5,30,1,3,42,66,0.1012,1.6978,1.09
unit_F1_m5_C30_a3_43.txt,5,30,1,3,43,48,0.0625,1.0931,0.47
unit_F1_m5_C30_a3_44.txt,5,30,1,3,44,68,0.1067,1.5599,1.09
unit_F1_m5_C30_a3_45.txt,5,30,1,3,45,82,0.1121,4.3552,0.63
unit_F1_m5_C30_a3_46.txt,5,30,1,3,46,78,0.0852,3.6467,0.31
unit_F1_m5_C30_a3_47.txt,5,30,1,3,47,84,0.1475,4.7522,0.16
unit_F1_m5_C30_a3_48.txt,5,30,1,3,48,56,0.074,3.2384,0.47
unit_F1_m5_C30_a3_49.txt,5,30,1,3,49,70,0.112,3.798,1.41
unit_F1_m5_C30_a7_0.txt,5,30,1,7,0,92,0.1529,3.6461,0.94
